Date,GOOG,AMZN,AMD,META,INTC,AAPL,NVDA,MSFT
2023-03-23,106,98,100,204,28,158,271,276
2023-03-24,106,98,97,206,29,159,267,279
2023-03-27,103,98,96,202,28,157,265,275
2023-03-28,101,97,94,200,29,157,264,274
2023-03-29,101,100,96,205,31,160,269,279
2023-03-30,101,102,97,207,31,161,273,282
2023-03-31,104,103,98,211,32,164,277,287
2023-04-03,104,102,96,213,32,165,279,285
2023-04-04,105,103,95,214,32,165,274,285
2023-04-05,104,101,92,211,32,163,268,283
2023-04-06,108,102,92,216,32,164,270,290
2023-04-10,106,102,95,214,32,161,275,288
2023-04-11,106,99,94,213,32,160,271,281
2023-04-12,105,97,92,214,31,159,264,282
2023-04-13,108,102,92,220,31,165,264,288
2023-04-14,109,102,91,221,31,164,267,284
2023-04-17,106,102,89,218,31,164,269,287
2023-04-18,105,102,89,217,31,166,276,287
2023-04-19,105,104,89,215,30,167,279,287
2023-04-20,105,103,90,213,30,166,270,284
2023-04-21,105,106,88,212,30,164,271,284
2023-04-24,106,106,87,212,29,164,270,280
2023-04-25,104,102,83,207,28,163,262,274
2023-04-26,104,104,85,209,28,163,269,294
2023-04-27,108,109,87,238,29,167,272,303
2023-04-28,108,105,89,240,30,169,277,305
2023-05-01,107,102,89,243,30,169,289,304
2023-05-02,105,103,89,239,29,168,282,304
2023-05-03,106,103,81,237,30,166,277,303
2023-05-04,105,104,86,233,31,165,275,304
2023-05-05,106,105,89,232,30,173,286,309
2023-05-08,108,105,95,233,30,173,291,307
2023-05-09,107,106,95,233,29,171,285,305
2023-05-10,112,110,97,233,29,173,288,310
2023-05-11,116,112,97,235,28,173,285,308
2023-05-12,117,110,95,233,28,172,283,307
2023-05-15,116,111,97,238,29,171,289,308
2023-05-16,120,113,101,238,29,171,292,310
2023-05-17,121,115,103,242,28,172,301,313
2023-05-18,123,118,107,246,29,174,316,317
2023-05-19,123,116,105,245,29,174,312,317
2023-05-22,125,115,108,248,30,173,311,320
2023-05-23,123,114,108,246,29,171,306,314
2023-05-24,121,116,108,249,28,171,305,313
2023-05-25,124,115,120,252,27,172,379,325
2023-05-26,125,120,127,262,28,175,389,332
2023-05-30,124,121,125,262,29,177,401,330
2023-05-31,123,120,118,264,31,177,378,327
2023-06-01,124,122,119,272,31,179,397,331
2023-06-02,125,124,117,272,31,180,393,334
2023-06-05,126,125,117,271,29,179,391,335
2023-06-06,127,126,124,271,30,178,386,332
2023-06-07,122,121,117,263,31,177,374,322
2023-06-08,122,124,121,264,31,180,385,324
2023-06-09,122,123,124,264,31,180,387,326
2023-06-12,124,126,129,271,32,183,394,331
2023-06-13,124,126,124,271,33,183,410,333
2023-06-14,124,126,127,273,35,183,429,336
2023-06-15,125,127,124,281,35,185,426,347
2023-06-16,124,125,120,281,36,184,426,341
2023-06-20,123,125,118,284,34,184,438,337
2023-06-21,121,124,112,281,32,183,430,332
2023-06-22,123,130,110,284,32,186,430,338
2023-06-23,123,129,110,288,32,186,422,334
2023-06-26,119,127,107,278,33,185,406,327
2023-06-27,119,129,110,287,33,187,418,333
2023-06-28,121,129,110,285,33,188,411,335
2023-06-29,120,127,111,281,32,189,408,334
2023-06-30,120,130,113,286,33,193,422,339
2023-07-03,120,130,115,286,33,192,424,337
2023-07-05,122,130,113,294,32,191,423,337
2023-07-06,120,128,113,291,31,191,420,340
2023-07-07,120,129,113,290,31,190,424,336
2023-07-10,116,127,113,294,32,188,421,331
2023-07-11,117,128,111,298,33,187,424,331
2023-07-12,119,130,114,309,33,189,438,336
2023-07-13,124,134,115,313,33,190,459,341
2023-07-14,125,134,115,308,33,190,454,344
2023-07-17,125,133,118,310,34,193,464,344
2023-07-18,124,132,117,312,34,193,474,358
2023-07-19,122,135,116,316,34,194,470,354
2023-07-20,119,129,110,302,33,192,455,346
2023-07-21,120,130,110,294,33,191,443,343
2023-07-24,121,128,110,291,33,192,446,344
2023-07-25,122,129,113,294,33,193,456,350
2023-07-26,129,128,110,298,34,194,454,337
2023-07-27,129,128,111,311,34,192,458,330
2023-07-28,133,132,112,325,36,195,467,337
2023-07-31,133,133,114,318,35,196,467,335
2023-08-01,131,131,117,322,35,195,465,335
2023-08-02,128,128,109,314,34,192,442,326
2023-08-03,128,128,113,313,34,190,445,325
2023-08-04,128,139,115,310,35,181,446,327
2023-08-07,131,142,116,316,35,178,454,329
2023-08-08,131,139,113,312,35,179,446,325
2023-08-09,130,137,110,305,34,177,425,321
2023-08-10,130,138,110,305,34,177,423,322
2023-08-11,130,138,107,301,34,177,408,320
2023-08-14,131,140,111,306,35,179,437,323
2023-08-15,130,137,111,301,34,177,439,321
2023-08-16,129,135,107,294,33,176,434,320
2023-08-17,130,133,104,285,32,174,433,316
2023-08-18,128,133,105,283,32,174,432,316
2023-08-21,128,134,108,289,33,175,469,321
2023-08-22,129,134,105,287,32,177,456,322
2023-08-23,133,135,109,294,33,181,471,327
2023-08-24,130,131,101,286,32,176,471,319
2023-08-25,130,133,102,285,33,178,460,322
2023-08-28,131,133,102,290,33,180,468,323
2023-08-29,135,134,105,297,34,184,487,328
2023-08-30,136,135,106,295,34,187,492,328
2023-08-31,137,138,105,295,35,187,493,327
2023-09-01,136,138,109,296,36,189,485,328
2023-09-05,136,137,110,300,36,189,485,333
2023-09-06,135,135,109,299,36,182,470,332
2023-09-07,136,137,106,298,38,177,462,329
2023-09-08,137,138,106,297,38,178,455,334
2023-09-11,137,143,105,307,38,179,451,337
2023-09-12,136,141,105,301,38,176,448,331
2023-09-13,137,144,107,305,38,174,454,336
2023-09-14,138,144,106,311,38,175,455,338
2023-09-15,138,140,101,300,37,175,439,330
2023-09-18,138,139,102,302,37,177,439,329
2023-09-19,138,137,101,305,36,179,435,328
2023-09-20,134,135,100,299,34,175,422,320
2023-09-21,131,129,96,295,34,173,410,319
2023-09-22,131,129,96,299,34,174,416,317
2023-09-25,132,131,97,300,34,176,422,317
2023-09-26,129,125,95,298,33,171,419,312
2023-09-27,131,125,98,297,34,170,424,312
2023-09-28,133,125,102,303,35,170,430,313
2023-09-29,131,127,102,300,35,171,434,315
2023-10-02,135,129,103,306,35,173,447,321
2023-10-03,133,124,100,300,35,172,435,313
2023-10-04,136,127,104,305,35,173,440,318
2023-10-05,135,125,102,304,35,174,446,319
2023-10-06,138,127,107,315,36,177,457,327
2023-10-09,139,128,106,318,36,178,452,329
2023-10-10,139,129,109,321,36,178,457,328
2023-10-11,141,131,108,327,36,179,468,332
2023-10-12,140,132,108,324,36,180,469,331
2023-10-13,138,129,105,314,35,178,454,327
2023-10-16,140,132,106,321,36,178,460,332
2023-10-17,140,131,105,324,36,177,439,332
2023-10-18,139,128,102,316,35,175,421,330
2023-10-19,138,128,102,312,35,175,421,331
2023-10-20,136,125,101,308,34,172,413,326
